,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
52,Jackie Chan,4/7/54,"Victoria Peak, Hong Kong","['Ngo si seoi', 'Rush Hour 2', 'Rush Hour', 'Shanghai Noon']",42,49,https://www.imdb.com/name/nm0000329/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000329/awards?ref_=nm_ql_2
53,Woody Harrelson,7/23/61,"Midland, Texas, USA","['True Detective', 'The People vs. Larry Flynt', 'Natural Born Killers', 'Zombieland']",27,91,https://www.imdb.com/name/nm0000437/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000437/awards?ref_=nm_ql_2
54,Jackie Earle Haley,7/14/61,"Northridge, California, USA","['Watchmen', 'Little Children', 'A Nightmare on Elm Street', 'Shutter Island']",12,17,https://www.imdb.com/name/nm0355097/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0355097/awards?ref_=nm_ql_2
55,Sam Worthington,8/2/76,"Godalming, Surrey, England, UK","['Avatar', 'Terminator Salvation', 'Clash of the Titans', 'Man on a Ledge']",6,17,https://www.imdb.com/name/nm0941777/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0941777/awards?ref_=nm_ql_2
56,Zach Galifianakis,10/1/69,"Wilkesboro, North Carolina, USA","['The Hangover', 'Birdman or (The Unexpected Virtue of Ignorance)', 'Due Date', 'The Hangover Part III']",22,35,https://www.imdb.com/name/nm0302108/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0302108/awards?ref_=nm_ql_2
57,Jared Padalecki,7/19/82,"San Antonio, Texas, USA","['Supernatural', 'House of Wax', 'Friday the 13th', 'Gilmore Girls']",2,16,https://www.imdb.com/name/nm0655585/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0655585/awards?ref_=nm_ql_2
58,Hugh Jackman,10/12/68,"Sydney, New South Wales, Australia","['Les Misérables', 'Logan', 'X-Men Origins: Wolverine', 'X-Men']",29,89,https://www.imdb.com/name/nm0413168/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0413168/awards?ref_=nm_ql_2
59,Jesse Eisenberg,10/5/83,"New York City, New York, USA","['The Social Network', 'Zombieland', 'The Double', 'Batman v Superman: Dawn of Justice']",21,57,https://www.imdb.com/name/nm0251986/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0251986/awards?ref_=nm_ql_2
60,Chris Pine,8/26/80,"Los Angeles, California, USA","['Star Trek', 'Wonder Woman', 'Star Trek Beyond', 'Star Trek Into Darkness']",7,30,https://www.imdb.com/name/nm1517976/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1517976/awards?ref_=nm_ql_2
61,Daniel Radcliffe,7/23/89,"Fulham, London, England, UK","['Harry Potter and the Deathly Hallows: Part 2', 'Harry Potter and the Deathly Hallows: Part 1', 'Swiss Army Man', 'Horns']",15,43,https://www.imdb.com/name/nm0705356/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0705356/awards?ref_=nm_ql_2
62,Quinton Aaron,8/15/84,"Bronx, New York City, New York, USA","['The Blind Side', 'Halfway', 'Mothers and Daughters']",0,7,https://www.imdb.com/name/nm2466842/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2466842/awards?ref_=nm_ql_2
